k,kd_knn_comp_t,scan_knn_comp_t
2,4052.265167236328,16782.572746276855
4,3918.1785583496094,16431.416273117065
6,3863.1324768066406,16183.206796646118
8,3997.0531463623047,16174.717903137207
10,4004.4009685516357,16369.724035263062
12,4165.998220443726,16348.507404327393
14,4243.570327758789,16489.784240722656
16,4284.802436828613,16625.16140937805
18,4438.179016113281,16731.61745071411
20,4460.916519165039,17244.752407073975
22,4546.652793884277,17088.427305221558
24,4588.352918624878,17323.049545288086
26,4699.744462966919,17387.293100357056
28,4729.501724243164,16977.04529762268
30,4835.302114486694,16996.798276901245
32,4909.7137451171875,16974.44748878479
34,4941.217422485352,17414.976596832275
36,4990.610122680664,17165.07339477539
38,5055.420160293579,17426.970720291138
40,5063.321590423584,16903.294801712036
42,5187.992334365845,17886.456727981567
44,5221.070289611816,17822.288751602173
46,5386.950969696045,17152.764081954956
48,5491.862773895264,17170.6600189209
50,5437.471628189087,16942.31867790222
52,5467.9670333862305,17576.772928237915
