r,kd_query_ball_comp_t,scan_query_ball(tm)_comp_t,scan_query_ball(sp)_comp_t
1,612.468957901001,8097.083330154419,6992.889165878296
4,603.45458984375,8053.922653198242,6981.589078903198
7,602.0324230194092,8035.126686096191,6987.091302871704
10,626.4286041259766,8049.572706222534,6987.158536911011
13,889.3167972564697,8042.179584503174,7030.4741859436035
16,1076.256275177002,8066.043138504028,7198.894262313843
19,1107.353925704956,8079.119682312012,7372.422933578491
22,1144.2315578460693,8064.153432846069,7516.023397445679
25,1126.3787746429443,8136.14559173584,7640.211820602417
28,1192.0373439788818,8164.568185806274,7756.5202713012695
31,1218.9204692840576,8178.900957107544,7841.5727615356445
34,1221.2378978729248,8184.401750564575,7916.534900665283
37,1200.1380920410156,8173.863410949707,8002.770662307739
40,1258.9142322540283,8149.791717529297,8114.9115562438965
43,1266.2222385406494,8191.4966106414795,8206.777334213257
46,1261.1174583435059,8170.449018478394,8253.399133682251
49,1209.0070247650146,8196.196556091309,8257.967710494995
