bs,hours,kd_range_comp_t,scan_range(tm)_comp_t,scan_range(sp)_comp_t
40,0.5,137.94612884521484,1430.346131324768,5405.2488803863525
40,1.0,159.85536575317383,1485.2327108383179,5398.550868034363
40,2.0,197.6560354232788,1622.6049661636353,5398.680806159973
40,3.0,235.87632179260254,1751.8506050109863,5394.713759422302
40,4.0,273.06830883026123,1889.8062705993652,5396.99649810791
40,5.0,309.63313579559326,2025.643229484558,5413.543701171875
40,6.0,347.4721908569336,2156.4457416534424,5409.97850894928
40,7.0,384.3346834182739,2301.934838294983,5400.415778160095
40,8.0,419.9596643447876,2431.715726852417,5411.160588264465
40,9.0,455.98912239074707,2550.7720708847046,5389.721393585205
40,10.0,494.5387840270996,2695.5599784851074,5402.510046958923
40,11.0,529.5883417129517,2821.0195302963257,5397.099494934082
100,0.5,86.88008785247803,1295.1136827468872,5195.919752120972
100,1.0,118.57640743255615,1463.6298418045044,5175.604701042175
100,2.0,177.04260349273682,1802.7626276016235,5176.4819622039795
100,3.0,231.9251298904419,2135.3241205215454,5182.864546775818
100,4.0,287.0117425918579,2469.4169759750366,5183.947205543518
100,5.0,339.89202976226807,2795.8426475524902,5199.071526527405
100,6.0,394.5906162261963,3129.9819946289062,5203.233361244202
100,7.0,448.8980770111084,3460.6738090515137,5186.629414558411
100,8.0,504.92191314697266,3795.8496809005737,5191.374778747559
100,9.0,555.029034614563,4111.876845359802,5195.806980133057
100,10.0,609.3207597732544,4441.921591758728,5193.642497062683
100,11.0,663.3778810501099,4770.545840263367,5198.804974555969
